RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4044,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4901,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2544,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4232,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3521,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3072,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
11695,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2856,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
6927,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2470,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4008,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1847,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2765,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1699,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3712,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
20877,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4011,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2141,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2737,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3459,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
7178,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2079,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2505,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2357,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
5274,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2759,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
13673,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3110,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
7475,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
6069,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2747,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3433,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
