RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1756,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1700,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3263,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
4910,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1797,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1877,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1129,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1884,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1764,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2093,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1964,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1756,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1861,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
