RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2506,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3581,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2167,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3607,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2278,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3473,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2021,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3199,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3035,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2486,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1916,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2999,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2382,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
