RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4882,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3788,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2367,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2862,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2626,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2879,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3139,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3623,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3235,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2807,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
14684,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2747,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5829,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
8176,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3800,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2145,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3707,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2167,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5531,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2918,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4906,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4486,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4229,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2107,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2096,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3624,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2868,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4507,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2931,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2779,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4931,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2314,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3682,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3071,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2127,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
