RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2299,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
6453,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2742,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2444,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3329,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4683,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2542,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3551,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2865,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2234,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2543,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2490,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1681,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1797,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4833,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1906,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2069,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2674,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2027,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1831,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1895,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1744,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1583,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2283,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2025,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1985,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1839,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1923,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2218,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1682,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1538,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1583,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1960,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2020,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3242,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1892,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1758,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2903,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2315,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
