RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
6816,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1517,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1705,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
5469,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2338,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2171,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1469,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1527,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1600,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2939,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2769,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1233,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
6068,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1418,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1408,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1467,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2138,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1147,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
