RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2961,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
4299,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2810,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3598,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1646,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
4049,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1679,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3143,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2617,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1833,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2399,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1785,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2705,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2894,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2544,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2387,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2420,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2873,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
4480,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
5262,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3546,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
5853,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2773,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3718,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1857,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3014,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2714,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
4232,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2076,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2685,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1570,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2559,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
5322,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
4801,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1835,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1284,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1865,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2497,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2166,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2261,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1811,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1998,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1673,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1469,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1616,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2828,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1888,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1998,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1657,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1879,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3396,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1751,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2930,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1999,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3370,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1834,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2958,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2255,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3846,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1948,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1625,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2130,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2254,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2027,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2510,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2660,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
