RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1916,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2563,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2120,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2372,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1680,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2209,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3377,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2094,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2080,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2800,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2095,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2049,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2525,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1685,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2050,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2016,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3618,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1876,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2190,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2106,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2053,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1929,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3270,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1920,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1482,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1831,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3015,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2218,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2221,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1472,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1262,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2155,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2583,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1987,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2408,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1501,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2573,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2366,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1553,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1429,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3195,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2402,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1556,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2675,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2642,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3136,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1747,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1823,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
