RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
4266,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2141,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2271,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1455,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1764,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1349,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2727,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2521,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3646,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2301,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
4004,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2835,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2958,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3238,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2232,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3879,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3647,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2944,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2035,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2079,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2944,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1853,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1848,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2607,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1965,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
4131,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2886,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2101,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2943,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3255,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3014,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
9647,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
