RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3031,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3027,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2200,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2508,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3247,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
1962,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3501,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
file,isFamiliar,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_Tony_Blair.png,1,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_jeremy_corbyn.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_M_Peter_Kay.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_M_Ewan_McGregor.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
E_F_Dawn_Roma_French.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
P_M_nigel_farage.png,0,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
