RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3910,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4486,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2618,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2573,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2847,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3301,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
1998,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4017,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2687,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4475,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3243,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2877,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2240,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3663,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
6692,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2072,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3041,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2421,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3770,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3228,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3376,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2999,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
