RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2334,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2181,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4730,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2669,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1952,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2520,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2161,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2163,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2100,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1790,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2051,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2408,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4000,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2505,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5928,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2333,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1577,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2265,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4174,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1593,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1327,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1647,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1937,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3198,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2679,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1672,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2004,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1544,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
