RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3465,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3795,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2949,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2392,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
4581,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1728,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3236,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2188,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2299,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2347,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1699,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2533,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2097,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3644,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3147,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
11043,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1959,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2351,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2310,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2249,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1784,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1726,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1801,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1718,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
