RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2967,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2933,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1711,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1820,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1751,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
5015,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1791,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2000,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1767,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1517,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2151,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2815,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3652,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1943,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3264,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3414,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1550,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1775,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2671,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2430,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1958,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2351,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2297,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2080,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2022,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2409,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1590,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2495,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1759,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2840,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1615,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2887,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2031,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2105,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2152,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2351,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3064,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2183,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2223,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3199,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1566,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2477,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3678,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1790,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
4936,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2390,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1958,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
5000,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1899,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
