RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2475,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2103,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
1894,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3796,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2319,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2903,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2303,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2921,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2714,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
3126,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2239,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
2387,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4042,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
4628,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e7347436a460d0008afbe91,"07/12/2022, 10:00:54"
