RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1206,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1089,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1392,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1326,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1384,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1293,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1083,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
926,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
935,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1649,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
994,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1052,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1364,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1551,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1090,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
843,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
943,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
859,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1170,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1500,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1290,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1171,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1843,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1403,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1216,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
