RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2803,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2223,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
5299,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2626,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2326,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
6951,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3151,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2725,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2346,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2305,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
