RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1989,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1621,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2126,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2334,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1897,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1465,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1785,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2220,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3260,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3836,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1849,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
