RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1158,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1047,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1031,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1118,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1151,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1999,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
951,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
898,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1007,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1647,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
967,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
935,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
950,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1239,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1119,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1070,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
991,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
967,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1431,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1192,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1143,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1182,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1199,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1126,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1311,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
960,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1007,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1214,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
974,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1000,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1037,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
936,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1070,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1951,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1215,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
999,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1766,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
958,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1095,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
893,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1039,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1167,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1135,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
943,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1334,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
