RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
5686,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4059,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2631,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
1710,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4833,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3662,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3093,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3987,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
6797,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3501,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3741,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2458,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3485,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2752,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2766,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
5322,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
17229,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
5285,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4100,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2289,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3675,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3097,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
5697,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4218,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3644,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2759,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2519,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
