RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3382,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1901,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1884,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1489,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3308,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2234,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2415,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2622,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1365,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
7485,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
947,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1210,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
604,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2924,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1203,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1480,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1109,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3351,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1792,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1396,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
903,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
794,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1185,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1238,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1594,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
619,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
782,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1840,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2492,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2144,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
