RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_keir_starmer.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_jeremy_corbyn.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_Michael_Gove.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_Tony_Blair.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_M_Michael_McIntyr.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_F_nicola_sturge.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_nigel_farage.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_M_Ewan_McGregor.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_Sajid_Javid.png,0,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_M_Peter_Kay.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_F_Julie_Walters.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_F_Sarah_Millican.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_david_camer.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_F_Theresa_May.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
P_M_Gordon_Brown.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_F_Jennifer_Saunders.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_M_Russell_Howard.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_M_Jimmy_Carr.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
age: 26,gender: Female,handedness: right,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
