RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
7174,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4520,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3200,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
2957,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4112,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
2683,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
11143,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3783,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
8535,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
8923,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4887,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
5848,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
10216,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
29711,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
5913,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
4793,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
3740,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a5aa4eaacc75b00017a52b8,"06/30/2022, 09:37:11"
