RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4187,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2619,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6150,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2749,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2785,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
1969,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2284,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5456,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2366,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2698,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3034,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4322,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
18012,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
9793,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
