RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
7371,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2166,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1790,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
5003,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2221,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2640,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3092,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1687,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3669,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2038,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3339,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3190,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2062,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
