RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2178,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3848,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6759,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2288,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3445,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2910,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1874,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2699,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6480,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2959,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2752,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1798,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2990,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2249,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2281,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1936,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
8493,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2288,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1666,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4888,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4730,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1918,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2086,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4677,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3019,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1962,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2052,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1916,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3348,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2977,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4036,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3274,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1927,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3852,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2437,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4241,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2916,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2823,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1674,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2102,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6393,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2108,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2040,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4403,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2270,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2142,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2823,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5708,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3388,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2286,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3900,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3929,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
9198,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2124,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1804,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1960,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2223,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2313,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
