RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3116,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5818,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4342,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4162,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3319,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5512,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3934,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4893,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
8252,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2155,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4098,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3260,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5944,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2902,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
