RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4890,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3569,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3036,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3771,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3223,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3546,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4179,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
2602,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3633,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4759,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
