RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
2681,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
17759,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
8561,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
69995,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3518,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4642,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
10651,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4584,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4907,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4274,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4739,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4178,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3900,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5072,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5482,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4909,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6423,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
2987,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
