RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3074,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2440,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2609,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2610,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
1985,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3054,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2962,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3042,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2723,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3033,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2670,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3536,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5579,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
7368,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3177,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2426,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4345,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3359,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4258,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3181,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3312,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3916,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2557,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4966,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2993,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2697,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2652,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2850,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3332,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3515,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2562,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3182,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2990,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2681,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3730,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3209,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3112,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2320,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
