RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
8797,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
1715,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4179,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3442,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4283,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2698,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2510,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
1789,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2990,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2684,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2002,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2221,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4803,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
6243,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
7456,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2029,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
5507,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2066,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2894,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2642,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
1867,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
6328,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3625,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2459,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3493,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2084,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3294,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
8356,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4294,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
5812,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2424,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4114,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2419,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3472,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2176,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4075,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3007,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3845,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4178,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2417,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2404,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3991,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2156,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
6085,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
file,isFamiliar,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_M_michael_caine.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
