RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3011,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2691,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3639,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2627,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3519,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2579,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2680,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2744,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3240,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3119,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3161,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3434,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3556,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4364,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3066,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3427,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2599,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3063,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3239,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
