RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2399,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3078,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3262,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5565,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4663,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2382,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
7079,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5734,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
8764,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4089,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2859,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3777,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
7631,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2575,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2930,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4202,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3824,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3076,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4154,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5908,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
3260,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2684,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
