RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2259,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3048,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3176,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2115,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2291,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1778,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1602,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3155,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3191,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3618,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1778,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1994,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2549,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2578,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4062,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2958,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2030,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2048,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
5419,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3078,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3500,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2939,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3322,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2378,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2909,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4613,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3244,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
