RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5248,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3108,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5491,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
8453,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
11128,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3562,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5400,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6068,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6247,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7198,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6819,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6053,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
