RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3984,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3166,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6050,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
33190,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
9718,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4550,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3151,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4700,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4065,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
10401,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6449,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5847,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3648,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4400,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
7998,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4980,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4431,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4316,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3367,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
7235,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
7700,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4566,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3434,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3467,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6534,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2166,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3366,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
7269,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3501,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5651,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4716,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3283,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4000,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6682,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4232,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2783,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4667,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3134,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2416,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3198,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5013,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2815,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2717,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5913,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2434,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3868,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3696,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4332,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3416,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
