RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
2341,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3719,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4944,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
3089,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
4113,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
file,isFamiliar,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_M_robert_de_niro.png,1,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_F_tehresy_may.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_M_nicolas_cage.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_F_jennifer_aniston.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_M_michael_caine.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_F_Judi_Dench.png,1,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_M_george_Wbush.png,1,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_M_tom_hankes.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_F_nicola_sturgeon.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_M_boris_johnson.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_M_bill_clinton.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_F_hillary_clinton.png,1,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_F_angelina_jolie.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_F_keira_knightley.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_F_sandra_bullock.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_M_donald_trump.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_M_Tony_Blair.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_M_Hugh_Grant.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
E_F_Kate_Winslet.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
P_M_david_cameron.png,0,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
age: 28,gender: Female,handedness: right,5f0452d558d1c26aa28f6d18,"05/06/2022, 10:52:28"
