RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2442,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2639,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2910,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4095,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2635,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2330,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2827,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3966,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2279,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4220,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2999,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
