RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1501,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2181,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2792,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2526,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1508,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1728,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4369,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2594,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1951,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2344,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2448,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3334,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3027,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1364,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1528,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1297,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1810,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2946,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1580,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2220,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1795,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1661,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2277,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2463,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1165,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3485,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1950,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1975,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2167,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1780,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1484,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2048,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1597,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1468,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1988,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
1963,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
2287,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
