RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2823,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5733,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3094,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2638,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3855,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2839,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3213,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
9068,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3784,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
8472,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
